name_en,name_ar,gender
Aabad,عبد,male
Aaban,ابن,male
Aabdar,أبْدَرٌ,male
Aabid,عَابِد,male
Aabida,عَابِدَة,female
Aabidullah,عَابِدُ الله,male
Aabir,عَابِر,male
Aabira,عَابِرَة,female
Aabis,عَابِس,male
Aabroo,عبرو,female
Aadam,آدم,male
Aaden,,male
Aadheen,اذن,male
Aadil,عَادِل,male
Aadila,عَادِلَة,female
Aaf,اف,male
Aafa,عَافَة,male
Aafaq,آفَاق,male
Aafiq,أفيق,male
Aafira,عافرة,female
Aafiya,عَافِيَة,female
Aahga,أحج,male
Aahil,أهل,male
Aaid,عائد,male
Aaida,عَائِدَة,female
Aaidun,عائدون,male
Aaila,أيلة,female
Aaima,إِيْمَاء,female
Aaina,انا,female
Aaiz,عايز,male
Aaiza,عَائِضة,female
Aaki,آكي,male
Aakif,اقيف,male
Aakifah,عَاكِفَة,female
Aakil,عَاقِل,male
Aala,أَعْلى,male
Aalam,أعلم,male
Aalamgir,المجير,male
Aalee,الي,male
Aali,آلي,male
Aalif,الف,male
Aalifa,أَلِيْفة,female
Aalii,الي,male
Aalim,اليم,male
Aaliya,عالية,female
Aaliyah,,female
Aamad,عماد,male
Aamal,آمال,female
Aameen,آمين,male
Aamer,عامر,male
Aamilah,عاملة,female
Aamin,آمين,male
Aamina,آمنة,female
Aamir,أمير,male
Aamirah,عَامِرَة,female
Aamla,أملا,male
Aana,آناء,female
Aaneseh,انصح,female
Aanil,انيل,male
Aaqib,عقيب,male
Aaqif,اقيف,male
Aaqilah,عقيله,female
Aara,أرى,female
Aaraf,عارف,male
Aarav,,male
Aarib,عريب,male
Aaribah,آرِبْة,female
Aarif,أعرف,male
Aarifah,عَرِيفَة,female
Aariz,أرز,male
Aaron,,male
Aaryan,ارين,male
Aarzam,رزم,male
Aarzu,أرز,female
Aas,اس,male
Aasaal,اسال,male
Aasal,أصل,male
Aaseman,اسمان,female
Aasfa,اسفة,female
Aashif,اشف,male
Aashik,اشيك,male
Aashiq,عاشق,male
Aashiq-Ali,شيقل,male
Aashiq-Muhammad,أشيقمهمد,male
Aashir,أشير,male
Aasia,آسيا,female
Aasif,آسف,male
Aasimah,اسمه,female
Aasir,أسير,male
Aasira,أسيرة,female
Aasiyah,اصيح,female
Aasma,اسم,female
Aasmaa,أسماء,female
Aati,آتي,male
Aatif,عطيف,male
Aatifa,عطيفة,female
Aatifah,اتفه,female
Aatik,أطيق,male
Aatika,اتيكا,female
Aatikah,اطيقه,female
Aatiq,أطيق,male
Aatiqa,عتيقة,female
Aatiqah,اطيقه,female
Aatirah,اطرح,female
Aatish,أتش,male
Aatiya,آتية,female
Aauf,اوف,male
Aaus,اس,male
Aawaz,أوز,female
Aaween,اوين,female
Aawf,اوف,male
Aayaan,ايان,male
Aayan,أين,male
Aayiz,عايز,male
Aayizah,عايزه,female
Aayun,عيون,female
Aazaad,آزاد,male
Aazad,آزاد,male
Aazam,عزام,male
Aazim,عظيم,male
Aazz,اذ,male
Ab,,male
Abaal,أبال,female
Abaas,عباس,male
Abaasa,عباس,female
Ababil,أبابيل,male
Abad,أبد,male
Abadiya,أبدية,male
Abagail,,female
Abahat,أبحت,male
Abahh,أباه,male
Abaid,أبيض,male
Abal,أبل,female
